	music #	name	performer	time	price	venue
0	12	激战纪元	艺人：Chaos mind/Burns Inside乐队/Rampage Time猖獗一时/BLACK VE$PID黑蜂	时间：2021/10/29 20:00	价格：¥80起	[上海]育音堂（凯旋店）
1	12	2021 万圣节“向经典致敬”专场演出 Day 2	艺人：Round Eye/Spill Your Guts/Leather Jacket/Chimera Cult	时间：2021/10/30 20:00	价格：¥120起	[上海]育音堂音乐公园
2	12	瘢痕体质乐队2021巡演 上海站	艺人：瘢痕体质乐队	时间：2021/10/30 20:30	价格：¥100起	[上海]育音堂（凯旋店）
3	12	破乐团✖️朝生暮死「混沌·起源」2021联合巡演	艺人：Ephemerality 朝生暮死乐队/破乐团·DEVASTATION	时间：2021/11/19 20:00	价格：¥88起	[上海]THE BOXX城市乐园
4	12	后金属浪潮·东京茶西行记 上海站	艺人：东京茶	时间：2021/11/21 20:30	价格：¥80起	[上海]育音堂音乐公园
5	12	毁灭！！野兽危险#2 敲击硬核室内音乐节	艺人：扩音器/skullcrusher碎颅者/反复攻击小明/Bob Blockhead Quartet/尼浊累/Chimera Cult/平头呆脑四重奏	时间：2021/12/04 20:00	价格：¥130起	[上海]育音堂（凯旋店）
