	music #	name	performer	time	price	venue
0	23	The Sino Hearts 2021新专辑巡演 上海站	艺人：Round Eye/子路/THE SINO HEARTS	时间：2021/10/16 20:30	价格：¥80起	[上海]NEO Bar
1	23	新学校废物合唱团2021新专辑《与爱情无关》巡演 上海站	艺人：新学校废物合唱团	时间：2021/10/22 20:30	价格：¥100起	[上海]上海 MAO Livehouse
2	23	别管工作了，跟我一起逃走吧	艺人：秋日疾走/Sheep's Bed/失联盐分lost salt/AgainstAll对尖	时间：2021/10/23 20:30	价格：¥50起	[上海]NEO Bar
3	23	Diels-Alder 复建行动 上海站	艺人：飞行游戏/Diels-Alder/Fliphouse	时间：2021/10/24 20:30	价格：¥80起	[上海]育音堂（凯旋店）
4	23	Casino Demon【Here Comes Your Man(Deluxe) 】巡演  上海站	艺人：Casino Demon赌鬼乐队	时间：2021/10/26 20:30	价格：¥150起	[上海]上海 MODERNSKY LAB
5	23	2021 万圣节“向经典致敬”专场演出 Day 1 	艺人：Round Eye/明天的盐/Deku/Loose Booty/Trash Panda	时间：2021/10/29 20:00	价格：¥120起	[上海]育音堂音乐公园
6	23	2021 万圣节“向经典致敬”专场演出 Day 2	艺人：Round Eye/Spill Your Guts/Leather Jacket/Chimera Cult	时间：2021/10/30 20:00	价格：¥120起	[上海]育音堂音乐公园
7	23	毁灭！！野兽危险#2 敲击硬核室内音乐节	艺人：扩音器/skullcrusher碎颅者/反复攻击小明/Bob Blockhead Quartet/尼浊累/Chimera Cult/平头呆脑四重奏	时间：2021/12/04 20:00	价格：¥130起	[上海]育音堂（凯旋店）
8	23	脑浊乐队2021年“FxxK OFF 2020”冬季巡演 上海站	艺人：脑浊乐队/Round Eye	时间：2022/01/15 20:30	价格：¥100起	[上海]育音堂音乐公园
