	music #	name	performer	time	price	venue
0	1	2021 万圣节“向经典致敬”专场演出 Day 1 	艺人：Round Eye/明天的盐/Deku/Loose Booty/Trash Panda	时间：2021/10/29 20:00	价格：¥120起	[上海]育音堂音乐公园
1	1	Hollow Cull 万圣节狂欢	艺人：Prajna Seashores/RayDio/Full Throttle	时间：2021/10/30 20:00	价格：¥60起	[上海]LOFAS
2	1	《十年一念》靳松2021巡演之旅 上海站	艺人：靳松	时间：2021/11/07 20:00	价格：¥80起	[上海]育音堂（凯旋店）
3	1	风子《索南扎巴》2021巡演 上海站	艺人：风子	时间：2021/11/19 20:30	价格：¥99起	[上海]育音堂（凯旋店）
4	1	2021姜铭杨“你自是你”巡回演唱会 上海站	艺人：Janmy姜铭杨	时间：2021/11/20 20:00	价格：¥120起	[上海]育音堂音乐公园
5	1	【秀动呈献】陈硕子“等你”2021巡演 上海站	艺人：陈硕子	时间：2021/12/10 20:30	价格：¥100起	[上海]上海 MAO Livehouse
6	1	小海2021《发光的》 南方六城 巡演 上海站	艺人：小海	时间：2021/12/15 20:30	价格：¥100起	[上海]上海 MAO Livehouse
7	1	2021-2022徐海俏《空》新专辑巡演-上海站	艺人：徐海俏	时间：2022/01/09 20:00	价格：¥99起	[上海]上海 MAO Livehouse
